Winner,Match Time (s),Attacker Tickets,Defender Tickets,Atk Deaths,Def Deaths,Avg Atk Lifespan (s),Avg Def Lifespan (s)
Attackers,122.0,117,0,35,133,41.1,13.7
Attackers,121.1,110,0,43,127,40.1,13.1
Attackers,121.0,119,0,33,127,42.5,13.2
Attackers,121.2,114,0,39,130,40.2,13.3
Attackers,120.6,115,0,36,124,38.9,13.5
Attackers,120.9,114,0,39,116,35.2,13.4
Attackers,121.0,114,0,37,113,39.9,13.2
Attackers,120.9,114,0,37,129,41.4,12.9
Attackers,188.2,113,99845,76,210,48.8,13.5
Attackers,426.8,59,99650,135,466,54.9,13.1
Attackers,151.5,119,100000,63,169,40.4,13.8
Attackers,301.1,67,100000,120,320,43.8,13.8
Attackers,230.8,97,100000,104,259,48.6,13.7
Attackers,201.7,39,100000,144,200,26.4,29.0
Attackers,135.4,91,100000,90,146,27.4,25.4
Attackers,69.0,30,100000,154,86,10.8,22.4
Attackers,66.8,120,100000,63,78,21.8,26.9
Attackers,71.9,129,100000,52,77,32.0,20.4
Attackers,69.2,137,100000,45,84,20.0,22.4
Attackers,76.3,118,100000,63,85,17.7,21.7
Attackers,65.1,124,100000,58,73,17.3,22.0
Attackers,75.7,80,100000,101,110,13.7,22.6
Attackers,65.0,119,100000,63,72,13.5,27.3
Attackers,64.5,112,100000,68,77,15.2,22.0
Attackers,135.7,76,100000,116,142,27.0,27.5
Attackers,66.2,122,100000,61,83,17.8,18.9
Attackers,66.3,127,100000,55,80,39.6,18.5
Attackers,198.3,26,100000,155,196,22.7,28.6
Attackers,74.1,46,100000,145,89,11.3,25.9
Attackers,57.8,150,100000,38,71,20.5,18.9
Attackers,198.3,48,100000,132,216,25.0,24.2
Attackers,181.2,72,100000,110,198,27.7,25.8
Defenders,148.9,0,100000,201,183,15.3,26.8
Defenders,158.4,0,100000,200,123,17.0,27.2
Attackers,144.0,76,100000,110,154,26.4,26.0
Attackers,212.1,40,100000,142,212,29.0,25.9
Attackers,313.4,7,100000,178,315,31.0,29.3
Attackers,71.7,73,100000,111,77,11.4,23.3
Attackers,155.2,78,100000,104,172,27.8,23.9
Attackers,87.9,73,100000,108,121,14.9,23.7
Attackers,158.9,76,100000,108,179,23.7,25.1
Attackers,74.8,44,100000,138,83,10.5,24.1
Defenders,118.3,0,100000,205,124,12.7,26.2
Attackers,73.2,63,100000,120,84,12.0,28.3
Attackers,161.0,73,100000,110,190,22.9,25.9
Attackers,70.3,121,100000,62,82,16.4,22.6
Attackers,66.7,80,100000,100,76,12.4,20.5
Attackers,67.5,120,100000,62,77,16.6,18.8
Attackers,63.0,108,100000,73,84,26.0,20.6
Attackers,134.2,105,100000,89,143,33.7,22.5
Attackers,142.4,77,100000,104,149,25.4,25.9
Attackers,72.5,45,100000,136,82,11.0,26.9
Attackers,73.5,77,100000,105,81,22.7,26.6
Attackers,75.2,17,100000,164,110,9.4,24.0
Attackers,196.0,19,100000,163,202,27.3,28.6
Attackers,58.1,97,100000,84,68,28.0,21.1
Attackers,61.1,74,100000,109,71,16.6,21.2
Attackers,67.9,76,100000,107,86,21.1,22.5
Attackers,85.2,63,100000,119,118,14.6,25.1
Attackers,210.4,29,100000,154,208,24.1,27.6
Attackers,101.4,110,100000,73,106,22.4,23.4
Attackers,63.9,111,100000,71,97,15.1,20.0
Attackers,219.6,33,100000,149,243,22.1,28.6
Attackers,112.8,98,100000,84,120,22.2,24.9
Attackers,65.9,138,100000,43,76,19.8,19.0
Attackers,168.0,57,100000,131,193,31.4,29.2
Attackers,69.9,83,100000,98,110,12.4,22.6
Attackers,61.3,135,100000,45,79,21.4,19.9
Attackers,183.3,44,100000,142,189,22.9,28.2
Attackers,163.7,42,100000,142,188,22.2,30.8
Attackers,65.0,115,100000,66,78,14.9,20.1
Attackers,71.1,28,100000,155,91,10.1,22.2
Attackers,102.5,56,100000,128,111,15.0,28.6
Attackers,140.1,71,100000,121,152,23.9,29.0
Attackers,179.0,35,100000,146,173,27.6,27.2
Attackers,66.0,94,100000,86,78,12.3,21.7
Attackers,120.3,77,100000,107,147,22.6,26.1
Attackers,65.5,115,100000,67,80,24.8,19.3
Attackers,169.2,61,100000,121,169,23.9,25.5
Attackers,66.7,104,100000,78,83,14.9,20.9
Attackers,68.8,7,100000,176,96,10.7,27.5
Attackers,197.9,56,100000,135,221,26.2,26.2
Attackers,197.4,15,100000,169,252,22.7,26.3
Attackers,64.0,73,100000,108,98,11.4,24.1
Attackers,186.7,36,100000,149,211,29.5,29.2
Attackers,174.9,32,100000,163,201,26.2,27.1
Attackers,64.6,132,100000,51,78,22.8,21.1
Attackers,188.3,65,100000,117,187,27.1,27.6
Attackers,185.3,16,100000,173,205,18.6,31.2
Attackers,108.8,88,100000,98,134,29.6,24.4
Attackers,61.8,71,100000,109,94,11.3,24.9
Attackers,72.1,117,100000,63,88,25.6,23.3
Attackers,89.7,71,100000,109,106,14.2,24.8
Attackers,152.3,53,100000,131,172,22.1,31.4
Attackers,65.9,80,100000,101,81,14.1,21.2
Attackers,70.4,48,100000,134,82,13.0,24.0
Defenders,70.0,0,100000,194,117,10.1,27.5
Attackers,65.9,95,100000,90,77,13.5,20.7
Attackers,197.8,44,100000,145,209,25.6,27.8
Attackers,206.2,63,100000,122,201,29.6,24.9
Attackers,173.8,69,100000,114,183,25.6,28.6
Attackers,73.0,73,100000,108,87,14.4,24.4
Attackers,65.8,46,100000,136,80,11.7,27.3
Attackers,104.4,90,100000,92,128,21.1,21.4
Attackers,77.2,107,100000,75,90,15.9,24.9
Attackers,119.1,35,100000,150,127,18.0,25.8
Attackers,70.7,65,100000,115,91,11.6,22.2
Attackers,150.7,63,100000,123,172,27.5,26.3
Attackers,73.8,123,100000,59,89,17.1,23.6
Attackers,91.8,92,100000,90,106,18.2,24.5
Attackers,70.8,111,100000,72,79,17.8,23.2
Defenders,210.6,0,100000,187,213,18.8,26.8
Attackers,144.0,99,100000,82,155,27.1,23.3
Attackers,65.7,1,100000,179,96,8.9,26.0
Attackers,114.7,100,100000,83,123,20.2,24.7
Attackers,191.7,49,100000,135,209,25.5,27.6
Attackers,170.2,62,100000,125,181,26.2,27.3
Attackers,204.6,40,100000,145,199,25.2,26.2
Attackers,186.9,66,100000,128,212,25.6,27.6
Attackers,91.0,61,100000,122,105,13.1,22.4
Attackers,68.7,122,100000,61,74,15.8,23.0
Attackers,75.9,62,100000,118,135,11.2,26.5
Attackers,65.2,109,100000,72,78,14.7,22.4
Attackers,66.5,109,100000,73,74,13.4,24.1
Attackers,97.6,105,100000,76,114,30.1,20.3
Attackers,214.1,65,100000,118,215,33.0,27.5
Attackers,64.8,61,100000,119,80,16.1,22.7
Attackers,70.8,89,100000,91,78,14.3,23.5
Attackers,62.0,86,100000,94,77,20.3,21.6
Attackers,68.8,136,100000,46,102,22.4,21.3
Attackers,186.5,51,100000,136,201,24.7,28.9
Attackers,71.4,78,100000,102,88,13.1,21.5
Attackers,73.5,125,100000,57,80,18.0,21.8
Attackers,152.3,64,100000,120,187,23.7,27.1
Attackers,112.1,107,100000,73,120,22.2,21.5
Attackers,187.7,47,100000,135,190,23.5,26.9
